reservoir_size,reservoir_configuration,part_number
20,JIC Welded,V10020
30,JIC Welded,V10030
40,JIC Welded,V10040
50,JIC Welded,V10050
60,JIC Welded,10060
80,JIC Welded,10080
100,JIC Welded,100100
120,JIC Welded,100120
150,JIC Welded,100150
200,JIC Welded,100200
300,JIC Welded,100300
400,JIC Welded,V100400
500,JIC Welded,100500
600,JIC Welded,V100600
700,JIC Welded,V100700
800,JIC Welded,V100800
900,JIC Welded,V100900
1000,JIC Welded,V1001000
5,VERTICAL,V215145
10,VERTICAL,V215147
20,VERTICAL,215174
30,VERTICAL,215175
40,VERTICAL,215176
20,HORIZONTAL,5141
30,HORIZONTAL,5160
40,HORIZONTAL,5161
45,L-SHAPED,VL-45
60,L-SHAPED,VL-60
80,L-SHAPED,VL-80
100,L-SHAPED,VL-100
150,L-SHAPED,VL-150
200,L-SHAPED,VL-150
300,L-SHAPED,VL-300
