front_pump,A4_250,A4_180,A4_125,A4_71,A4_40,A10_180,A10_140,A10_100,A10_71_31,A10_71_32,A10_45,A10_28,A10_18
A4_250,R902447067,R902447066,R902447063,R902447057,R902447055,R902447063,R902447063,R902447053,R902447051,R902447055,R902447047,R902447042,R902447037
A4_180,,R902447065,R902447062,R902447056,R902447054,R902447062,R902447062,R902447052,R902447050,R902447054,R902447045,R902447040,R902447035
A4_125,,,R902447062,R902447056,R902447054,,,R902447052,R902447050,R902447054,R902447045,R902447040,R902447035
A4_71,,,,R910905814+R910987448,R910905814+R90249523,,,,R902417919,R902417919,R90247595,R902561231+R902561233,R910994849
A4_40,,,,,R902422527,,,,,,R902420197,R902420804+R902491152,R910905207+R902565557
A10_180,,,R902496671,R902510138,R902510141,R902496671,R902496671,R902496669,R902510142,R902510138,R902496666,R902496481,R902496476
A10_140,,,R902496670,R902510137,R902510141,,R902496670,R902496668,R902510141,R902510137,R902496665,R902496480,R902496475
A10_100,,,,R902510136,R902510140,,,R902496667,R902510140,R902510136,R902496664,R902496479,R902496474
A10_71,,,,,R902510139,,,,R902510139,,R902510132,R902496478,R902496473
A10_45,,,,,,,,,,,R902510131,R902496477,R902496472
